time,open,close,low,high,volume
1671840000,16778.52000000,16836.12000000,16776.62000000,16869.99000000,100224.29096000
1671926400,16835.73000000,16832.11000000,16721.00000000,16857.96000000,125441.07202000
1672012800,16832.11000000,16919.39000000,16791.00000000,16944.52000000,124564.00656000
1672099200,16919.39000000,16706.36000000,16592.37000000,16972.83000000,173749.58616000
1672185600,16706.06000000,16547.31000000,16465.33000000,16785.19000000,193037.56577000
1672272000,16547.32000000,16633.47000000,16488.91000000,16664.41000000,160998.47158000
1672358400,16633.47000000,16607.48000000,16333.00000000,16677.35000000,164916.31174000
1672444800,16607.48000000,16542.40000000,16470.00000000,16644.09000000,114490.42864000
1672531200,16541.77000000,16616.75000000,16499.01000000,16628.00000000,96925.41374000
1672617600,16617.17000000,16672.87000000,16548.70000000,16799.23000000,121888.57191000
1672704000,16672.78000000,16675.18000000,16605.28000000,16778.40000000,159541.53733000
1672790400,16675.65000000,16850.36000000,16652.66000000,16991.87000000,220362.18862000
1672876800,16850.36000000,16831.85000000,16753.00000000,16879.82000000,163473.56641000
1672963200,16831.85000000,16950.65000000,16679.00000000,17041.00000000,207401.28415000
1673049600,16950.31000000,16943.57000000,16908.00000000,16981.91000000,104526.56880000
1673136000,16943.83000000,17127.83000000,16911.00000000,17176.99000000,135155.89695000
1673222400,17127.83000000,17178.26000000,17104.66000000,17398.80000000,266211.52723000
1673308800,17179.04000000,17440.66000000,17146.34000000,17499.00000000,221382.42581000
1673395200,17440.64000000,17943.26000000,17315.60000000,18000.00000000,262221.60653000
1673481600,17943.26000000,18846.62000000,17892.05000000,19117.04000000,454568.32178000
1673568000,18846.62000000,19930.01000000,18714.12000000,20000.00000000,368615.87823000
1673654400,19930.01000000,20954.92000000,19888.05000000,21258.00000000,393913.74951000
1673740800,20952.76000000,20871.50000000,20551.01000000,21050.74000000,178542.22549000
1673827200,20872.99000000,21185.65000000,20611.48000000,21474.05000000,293078.08262000
1673913600,21185.65000000,21134.81000000,20841.31000000,21647.45000000,275407.74409000
1674000000,21132.29000000,20677.47000000,20407.15000000,21650.00000000,350916.01949000
1674086400,20677.47000000,21071.59000000,20659.19000000,21192.00000000,251385.84925000
1674172800,21071.59000000,22667.21000000,20861.28000000,22755.93000000,338079.13659000
1674259200,22666.00000000,22783.55000000,22422.00000000,23371.80000000,346445.48432000
1674345600,22783.35000000,22707.88000000,22292.37000000,23078.71000000,253577.75286000
1674432000,22706.02000000,22916.45000000,22500.00000000,23180.00000000,293588.37938000
1674518400,22917.81000000,22632.89000000,22462.93000000,23162.20000000,293158.78254000
1674604800,22631.94000000,23060.94000000,22300.00000000,23816.73000000,346042.83223000
1674691200,23060.42000000,23009.65000000,22850.01000000,23282.47000000,288924.43581000
1674777600,23009.65000000,23074.16000000,22534.88000000,23500.00000000,280833.86315000
1674864000,23074.16000000,23022.60000000,22878.46000000,23189.00000000,148115.71085000
1674950400,23021.40000000,23742.30000000,22967.76000000,23960.54000000,295688.79204000
1675036800,23743.37000000,22826.15000000,22500.00000000,23800.51000000,302405.90121000
1675123200,22827.38000000,23125.13000000,22714.77000000,23320.00000000,264649.34909000
1675209600,23125.13000000,23732.66000000,22760.23000000,23812.66000000,310790.42271000
1675296000,23731.41000000,23488.94000000,23363.27000000,24255.00000000,364177.20751000
1675382400,23489.33000000,23431.90000000,23204.62000000,23715.70000000,332571.02904000
1675468800,23431.90000000,23326.84000000,23253.96000000,23587.78000000,166126.47295000
1675555200,23327.66000000,22932.91000000,22743.00000000,23433.33000000,209251.33917000
1675641600,22932.91000000,22762.52000000,22628.13000000,23158.25000000,265371.60690000
1675728000,22762.52000000,23240.46000000,22745.78000000,23350.25000000,308006.72482000
1675814400,23242.42000000,22963.00000000,22665.85000000,23452.00000000,280056.30717000
1675900800,22961.85000000,21796.35000000,21688.00000000,23011.39000000,402894.69550000
1675987200,21797.83000000,21625.19000000,21451.00000000,21938.16000000,338591.94247000
1676073600,21625.19000000,21862.55000000,21599.78000000,21906.32000000,177021.58433000
1676160000,21862.02000000,21783.54000000,21630.00000000,22090.00000000,204435.65163000
1676246400,21782.37000000,21773.97000000,21351.07000000,21894.99000000,295730.76791000
1676332800,21774.63000000,22199.84000000,21532.77000000,22319.08000000,361958.40109000
1676419200,22199.84000000,24324.05000000,22047.28000000,24380.00000000,375669.16111000
1676505600,24322.87000000,23517.72000000,23505.25000000,25250.00000000,450080.68366000
1676592000,23517.72000000,24569.97000000,23339.37000000,25021.11000000,496813.21376000
1676678400,24568.24000000,24631.95000000,24430.00000000,24877.00000000,216917.25213000
1676764800,24632.05000000,24271.76000000,24192.57000000,25192.00000000,300395.99542000
1676851200,24272.51000000,24842.20000000,23840.83000000,25121.23000000,346938.56997000
1676937600,24843.89000000,24452.16000000,24148.34000000,25250.00000000,376000.82868000
1677024000,24450.67000000,24182.21000000,23574.69000000,24476.05000000,379425.75365000
1677110400,24182.21000000,23940.20000000,23608.00000000,24599.59000000,398400.45437000
1677196800,23940.20000000,23185.29000000,22841.19000000,24132.35000000,343582.57453000
1677283200,23184.04000000,23157.07000000,22722.00000000,23219.13000000,191311.81010000
1677369600,23157.07000000,23554.85000000,23059.18000000,23689.99000000,202323.73623000
1677456000,23554.85000000,23492.09000000,23106.77000000,23897.99000000,283706.08590000
1677542400,23492.09000000,23141.57000000,23020.97000000,23600.00000000,264140.99894000
1677628800,23141.57000000,23628.97000000,23020.03000000,24000.00000000,315287.41737000
1677715200,23629.76000000,23465.32000000,23195.90000000,23796.93000000,239315.45219000
1677801600,23465.32000000,22354.34000000,21971.13000000,23476.95000000,319954.19785000
1677888000,22354.34000000,22346.57000000,22157.08000000,22410.00000000,121257.38132000
1677974400,22346.57000000,22430.24000000,22189.22000000,22662.09000000,154841.75786000
1678060800,22430.24000000,22410.00000000,22258.00000000,22602.19000000,203751.82957000
1678147200,22409.41000000,22197.96000000,21927.00000000,22557.91000000,292519.80912000
1678233600,22198.56000000,21705.44000000,21580.00000000,22287.00000000,301460.57272000
1678320000,21704.37000000,20362.22000000,20042.72000000,21834.99000000,443658.28584000
1678406400,20362.21000000,20150.69000000,19549.09000000,20367.78000000,618456.46710000
1678492800,20150.69000000,20455.73000000,19765.03000000,20686.51000000,427831.82133000
1678579200,20455.73000000,21997.11000000,20270.60000000,22150.00000000,430944.94288000
1678665600,21998.05000000,24113.48000000,21813.88000000,24500.00000000,687889.31259000
1678752000,24112.27000000,24670.41000000,23976.42000000,26386.87000000,699360.93423000
1678838400,24670.41000000,24285.66000000,23896.95000000,25196.97000000,581450.72984000
1678924800,24285.66000000,24998.78000000,24123.00000000,25167.40000000,439421.32998000
1679011200,24998.78000000,27395.13000000,24890.00000000,27756.84000000,624460.68091000
1679097600,27395.13000000,26907.49000000,26578.00000000,27724.85000000,371238.97174000
1679184000,26907.49000000,27972.87000000,26827.22000000,28390.10000000,372066.99054000
1679270400,27972.87000000,27717.01000000,27124.47000000,28472.00000000,477378.23373000
1679356800,27717.01000000,28105.47000000,27303.10000000,28438.55000000,420929.74220000
1679443200,28107.81000000,27250.97000000,26601.80000000,28868.05000000,224113.41296000
1679529600,27250.97000000,28295.41000000,27105.00000000,28750.00000000,128649.60818000
1679616000,28295.42000000,27454.47000000,27000.00000000,28374.30000000,86242.06544000
1679702400,27454.46000000,27462.95000000,27156.09000000,27787.33000000,50844.08102000
1679788800,27462.96000000,27968.05000000,27417.76000000,28194.40000000,49671.70353000
1679875200,27968.05000000,27124.91000000,26508.14000000,28023.86000000,88039.46898000
1679961600,27124.90000000,27261.07000000,26631.78000000,27520.00000000,78602.44341000
1680048000,27261.06000000,28348.60000000,27240.10000000,28650.00000000,89486.16008000
1680134400,28348.60000000,28028.53000000,27686.00000000,29184.68000000,98865.43256000
1680220800,28028.53000000,28465.36000000,27511.71000000,28656.69000000,78198.12139000
1680307200,28465.36000000,28452.73000000,28220.27000000,28819.71000000,30238.44753000
1680393600,28452.74000000,28171.87000000,27856.43000000,28530.00000000,37365.65692000
1680480000,28171.87000000,27800.00000000,27200.24000000,28500.99000000,79180.01405000
1680566400,27800.00000000,28165.47000000,27662.79000000,28444.44000000,49722.55691000
1680652800,28165.47000000,28170.01000000,27805.10000000,28775.00000000,60737.64732000
1680739200,28170.01000000,28033.82000000,27711.00000000,28182.05000000,40118.94963000
1680825600,28033.83000000,27906.33000000,27766.94000000,28100.00000000,24762.09387000
1680912000,27906.34000000,27938.38000000,27859.02000000,28154.99000000,19479.96735000
1680998400,27938.38000000,28323.76000000,27800.00000000,28530.00000000,32531.16101000
1681084800,28323.76000000,29637.34000000,28170.00000000,29770.00000000,67754.06220000
1681171200,29637.35000000,30200.42000000,29590.00000000,30550.00000000,67990.07621000
1681257600,30200.43000000,29888.07000000,29637.40000000,30486.00000000,62049.48451000
1681344000,29888.07000000,30373.84000000,29854.59000000,30595.00000000,51934.11731000
1681430400,30373.84000000,30466.93000000,29966.00000000,31000.00000000,75984.19452000
1681516800,30466.93000000,30295.09000000,30202.00000000,30595.60000000,25429.81247000
1681603200,30295.10000000,30304.65000000,30120.00000000,30549.99000000,26431.99322000
1681689600,30304.66000000,29430.27000000,29240.65000000,30316.06000000,56441.81127000
1681776000,29430.27000000,30380.01000000,29096.78000000,30485.00000000,62004.89434000
1681862400,30380.01000000,28797.10000000,28520.00000000,30413.53000000,86575.48656000
1681948800,28797.10000000,28243.65000000,28010.00000000,29088.30000000,76879.09372000
1682035200,28243.65000000,27262.84000000,27125.00000000,28374.02000000,77684.76790000
1682121600,27262.84000000,27816.85000000,27140.35000000,27882.72000000,36023.69686000
